dataset,classifier,rate,seed,gap_intercept
ImprovMLCQ,RF,0.05,13,-0.0064
digits,RF,0.2,42,0.0354
ImprovMLCQ,RF,0.05,99,0.0044
digits,RF,0.2,1,0.0462
ImprovMLCQ,RF,0.1,42,-0.0032
digits,RF,0.2,7,0.0329
ImprovMLCQ,RF,0.1,1,0.0012
digits,RF,0.2,13,0.0387
ImprovMLCQ,RF,0.1,7,-0.0038
digits,RF,0.2,99,0.0349
ImprovMLCQ,RF,0.1,13,-0.0031
digits,RF,0.33,42,0.0421
ImprovMLCQ,RF,0.1,99,0.0013
ImprovMLCQ,RF,0.2,42,0.0082
digits,RF,0.33,1,0.0361
ImprovMLCQ,RF,0.2,1,-0.0033
digits,RF,0.33,7,0.0421
ImprovMLCQ,RF,0.2,7,0.01
ImprovMLCQ,RF,0.2,13,0.0041
digits,RF,0.33,13,0.0406
ImprovMLCQ,RF,0.2,99,0.005
digits,RF,0.33,99,0.0434
ImprovMLCQ,RF,0.33,42,-0.0008
segment,LogReg,0.05,42,0.7498
segment,LogReg,0.05,1,0.7315
ImprovMLCQ,RF,0.33,1,0.0026
segment,LogReg,0.05,7,0.7483
segment,LogReg,0.05,13,0.7474
ImprovMLCQ,RF,0.33,7,-0.0006
segment,LogReg,0.05,99,0.7773
ImprovMLCQ,RF,0.33,13,0.001
segment,LogReg,0.1,42,0.7415
segment,LogReg,0.1,1,0.7398
ImprovMLCQ,RF,0.33,99,0.0135
Crowdsmelling,LogReg,0.05,42,
Crowdsmelling,LogReg,0.05,1,
Crowdsmelling,LogReg,0.05,7,
Crowdsmelling,LogReg,0.05,13,
Crowdsmelling,LogReg,0.05,99,
Crowdsmelling,LogReg,0.1,42,
Crowdsmelling,LogReg,0.1,1,
Crowdsmelling,LogReg,0.1,7,
Crowdsmelling,LogReg,0.1,13,
Crowdsmelling,LogReg,0.1,99,
Crowdsmelling,LogReg,0.2,42,
Crowdsmelling,LogReg,0.2,1,
Crowdsmelling,LogReg,0.2,7,
