n_features,avg_delta,delta_god_class,delta_data_class,delta_long_method,delta_feature_envy,delta_long_parameter_list,delta_switch_statements
36,0.05969753116793241,0.032822173573334834,0.03312192044725781,0.08719333272324514,0.10042267143751615,0.045207752583038774,0.059417336243201724
30,0.05735082252476148,0.03434914946071155,0.02425177399090428,0.05641990560835464,0.11111695525460819,0.07035769776543832,0.04760945306855191
20,0.050232860523061605,0.02994799505955681,0.008827501999915777,0.026400767577006712,0.11930375939286408,0.05269634777971788,0.06422079132930836
14,0.0317619773421598,0.019462750456665345,0.008211040555867966,0.021752543874224983,0.08070545840300247,0.049479886606617285,0.010960184156580732
