smell,original_f1,balanced_f1,balanced_f1_std,balanced_precision,balanced_recall,delta_change,p_value,cohens_d
god_class,0.5378230020280605,0.5929529633112078,0.008133898311623373,0.49411038383367173,0.7419940187950319,0.05512996128314729,0.001953125,2.6918280385575737
long_method,0.2925721256452113,0.2768713077642883,0.020663176769251904,0.18743658197394622,0.5300506287767435,-0.01570081788092298,0.001953125,-0.755553395866882
feature_envy,0.3023163249822844,0.28880650717343237,0.019039633372700284,0.20479915989331685,0.48996984924623127,-0.01350981780885202,0.001953125,-0.6883278480459464
data_class,0.22998121597914606,0.34712167415902506,0.020299294381184576,0.3691953821708486,0.3282619171176514,0.117140458179879,0.001953125,4.745007915380936
