smell,specific_f1,specific_precision,specific_recall,multiclass_f1,multiclass_precision,multiclass_recall,delta_f1,p_value,cohens_d,spec_f1_mean,spec_f1_std,spec_p_mean,spec_p_std,spec_r_mean,spec_r_std,mc_f1_mean,mc_f1_std,mc_p_mean,mc_p_std,mc_r_mean,mc_r_std
god_class,0.972 ± 0.027,0.966 ± 0.034,0.979 ± 0.033,0.939 ± 0.049,0.980 ± 0.031,0.907 ± 0.092,+0.033,0.1309,0.79,0.971665754424375,0.026673415506859942,0.9657142857142856,0.034325373887504944,0.9785714285714286,0.03273268353539884,0.9388435808510401,0.04873009658216291,0.9801753393665159,0.030583403478753286,0.9072435167172008,0.09184631978273
data_class,0.989 ± 0.017,0.993 ± 0.020,0.986 ± 0.029,0.956 ± 0.042,1.000 ± 0.000,0.919 ± 0.076,+0.033,0.0431,0.98,0.9891443167305235,0.016595439959779808,0.9933333333333334,0.019999999999999997,0.9857142857142858,0.02857142857142856,0.9560223962832657,0.04195887079464987,1.0,0.0,0.9188095238095239,0.07616405791986704
long_method,0.839 ± 0.082,0.850 ± 0.074,0.836 ± 0.115,0.752 ± 0.063,0.759 ± 0.097,0.762 ± 0.110,+0.087,0.0645,1.13,0.8389330531866683,0.08215597349659395,0.8495469971205265,0.07431927037965348,0.8357142857142856,0.11539638872431082,0.7517397204634232,0.06316318682487007,0.7587075205496259,0.09704661148696456,0.7615072663834274,0.10985098956694823
feature_envy,0.745 ± 0.078,0.768 ± 0.122,0.736 ± 0.096,0.644 ± 0.102,0.633 ± 0.157,0.677 ± 0.091,+0.100,0.0371,1.05,0.7448868744670843,0.07793422364846536,0.7684439464044728,0.12237575837274486,0.7357142857142858,0.09609731462195506,0.6444642030295682,0.10176058658267316,0.6328316454787043,0.1574843064253542,0.6767202242202243,0.09084407328599295
long_parameter_list,0.618 ± 0.118,0.708 ± 0.125,0.570 ± 0.158,0.573 ± 0.120,0.653 ± 0.127,0.521 ± 0.141,+0.045,0.3750,0.36,0.6180545102396435,0.11769386566530156,0.7077434003904594,0.12476808368749684,0.5697802197802198,0.15810529066683182,0.5728467576566048,0.12009521848916394,0.6528001328736622,0.12673137568050857,0.5211205461205461,0.14088347794195202
switch_statements,0.486 ± 0.124,0.518 ± 0.089,0.481 ± 0.178,0.426 ± 0.129,0.459 ± 0.117,0.409 ± 0.150,+0.059,0.5566,0.44,0.4855361686778236,0.12439840479237667,0.5180492709904476,0.08948468511668023,0.4807692307692307,0.17813132579860633,0.4261188324346219,0.1291593881465621,0.4585818348318348,0.11702893021148988,0.40860920125626005,0.14958214365416903
