smell,positive_rate,specific_f1,specific_precision,specific_recall,multilabel_f1,multilabel_precision,multilabel_recall,delta_f1,p_value,cohens_d,spec_f1_mean,spec_f1_std,spec_p_mean,spec_p_std,spec_r_mean,spec_r_std,ml_f1_mean,ml_f1_std,ml_p_mean,ml_p_std,ml_r_mean,ml_r_std
god_class,0.04028673968425163,0.538 ± 0.026,0.705 ± 0.028,0.436 ± 0.030,0.538 ± 0.026,0.705 ± 0.028,0.436 ± 0.030,+0.000,1.0000,0.00,0.5378230020280605,0.0262459645765021,0.7045224919927991,0.027810658474937917,0.4357275891061184,0.03044495814110481,0.5378230020280605,0.0262459645765021,0.7045224919927991,0.027810658474937917,0.4357275891061184,0.03044495814110481
long_method,0.014560127935734607,0.293 ± 0.019,0.195 ± 0.013,0.588 ± 0.038,0.293 ± 0.025,0.195 ± 0.019,0.596 ± 0.038,-0.001,0.9219,-0.03,0.2925721256452113,0.018717095502991887,0.19483899961474335,0.012830894956943716,0.5875224563122651,0.038452952005432486,0.29334560778264873,0.025061360059624053,0.19479519609727297,0.01897112825172516,0.5959933368961249,0.03827094126538118
feature_envy,0.018558119642226232,0.302 ± 0.018,0.209 ± 0.012,0.548 ± 0.039,0.303 ± 0.022,0.210 ± 0.017,0.548 ± 0.036,-0.001,0.9219,-0.05,0.3023163249822844,0.01819031406190637,0.20889693193746792,0.012452166351563956,0.5475979899497487,0.03897350079603936,0.30347337547807507,0.02187064385829723,0.20998243618682375,0.016574900790447874,0.5480768172248331,0.036298420641055464
data_class,0.030533499451438347,0.230 ± 0.026,0.730 ± 0.065,0.137 ± 0.017,0.237 ± 0.036,0.726 ± 0.089,0.142 ± 0.023,-0.007,0.4316,-0.22,0.22998121597914606,0.026171613984478693,0.7303672230836888,0.06493120284039934,0.13672251464155977,0.017304159231816458,0.23712939808014005,0.035802289684013645,0.7258846305240503,0.08940876447895332,0.1419836025078155,0.02270811444871444
